Translation,original,final,"jan Enki",rvtar34,"mu Temi"
Title,"THE FIRST BOOK OF MOSES, COMMONLY CALLED GENESIS",
Author/copyright,"American Standard Version (1901)",
Link,https://ebible.org/asv/,
"CW notes","old testament stuff",
"Translation notes",paragraph-by-paragraph,
"Text notes",,
randomized,no,
Predefine,"Abel (person)",,"jan Ape",,
Predefine,"Abel-mizraim (place)",,"ma Ape Misala",,
Predefine,"Abida (person)",,"jan Apita",,
Predefine,"Abimael (person)",,"jan Apitala",,
Predefine,"Abimelech (person)",,"jan Apimele",,
Predefine,"Abraham (person)",,"jan Apawan",,
Predefine,"Abram (person)",,"jan Apa",,
Predefine,"Accad (place)",,"ma Aka",,
Predefine,"Achbor (person)",,"jan Ako",,
Predefine,"Adah (person)",,"jan Ata",,
Predefine,"Adam (person)",,"jan Atan",,
Predefine,"Adbeel (person)",,"jan Ati",,
Predefine,"Admah (place)",,"ma Ata",,
Predefine,"Adullamites (group)",,"kulupu Atulami",,
Predefine,"Ahuzzath (person)",,"jan Anusa",,
Predefine,"Ai (place)",,"ma Ani",,
Predefine,"Aiah (person)",,"jan Ani",,
Predefine,"Akan (person)",,"jan Akan",,
Predefine,"Allon-bacuth (place)",,"ma Alon Pacu",,
Predefine,"God Almighty (god)",,"jan Sewi",,
Predefine,"Almodad (person)",,"jan Alnota",,
Predefine,"Alvah (person)",,"jan Alawa",,
Predefine,"Alvan (person)",,"jan Alawan",,
Predefine,"Amalek (person)",,"jan Amaleke",,
Predefine,"Amalekites (group)",,"kulupu Amaleke",,
Predefine,"Ammon (person)",,"jan Amon",,
Predefine,"Amorites (group)",,"kulupu Amon",,
Predefine,"Amraphel (person)",,"jan Amalape",,
Predefine,"Anah (person)",,"jan Ana",,
Predefine,"Anamim (person)",,"jan Anamin",,
Predefine,"Aner (person)",,"jan Ane",,
Predefine,"Aram (person)",,"jan Ala",,
Predefine,"Aran (person)",,"jan Alan",,
Predefine,"Ararat (place)",,"ma Alala",,
Predefine,"Ard (person)",,"jan Alata",,
Predefine,"Areli (person)",,"jan Aleli",,
Predefine,"Arioch (person)",,"jan Aliloko",,
Predefine,"Arkites (group)",,"kulupu Alikite",,
Predefine,"Arodi (person)",,"jan Aloti",,
Predefine,"Arpachshad (person)",,"jan Alapasata",,
Predefine,"Arvadites (group)",,"kulupu Alawati",,
Predefine,"Asenath (person)",,"jan Asena",,
Predefine,"Ashbel (person)",,"jan Asepe",,
Predefine,"Asher (person)",,"jan Ase",,
Predefine,"Ashkenaz (person)",,"jan Asekena",,
Predefine,"Ashteroth-karnaim (place)",,"ma Asetelokalanan",,
Predefine,"Asshur (person)",,"jan Asulu",,
Predefine,"Asshurim (person)",,"jan Asulin",,
Predefine,"Assyria (place)",,"ma Asilija",,
Predefine,"Atad (place)",,"ma Ata",,
Predefine,"Avith (place)",,"ma Awita",,
Predefine,"Baal-hanan (person)",,"jan Palanan",,
Predefine,"Babel (place)",,"ma Pape",,
Predefine,"Basemath (person)",,"jan Pasema",,
Predefine,"Becher (person)",,"jan Pete",,
Predefine,"Bedad (person)",,"jan Peta",,
Predefine,"Beer-lahai-roi (place)",,"ma Pilalalo",,
Predefine,"Beer-sheba (place)",,"ma Pisepa",,
Predefine,"Beeri (person)",,"jan Pili",,
Predefine,"Bela (person)",,"jan Pela",,
Predefine,"Ben-ammi (person)",,"jan Penami",,
Predefine,"Ben-oni (person)",,"jan Penoni",,
Predefine,"Benjamin (person)",,"jan Pensamin",,
Predefine,"Beor (person)",,"jan Pe",,
Predefine,"Bera (person)",,"jan Peka",,
Predefine,"Bered (place)",,"ma Pele",,
Predefine,"Beriah (person)",,"jan Pelala",,
Predefine,"Beth-el (place)",,"ma Pete",,
Predefine,"Beth-lehem (place)",,"ma Petelelen",,
Predefine,"Bethuel (person)",,"jan Petu",,
Predefine,"Bilhah (person)",,"jan Pila",,
Predefine,"Bilhan (person)",,"jan Pilan",,
Predefine,"Birsha (person)",,"jan Pilasa",,
Predefine,"Bozrah (place)",,"ma Posala",,
Predefine,"Buz (person)",,"jan Pa",,
Predefine,"Cain (person)",,,"jan Ken (rvtar34)",
Predefine,"Calah (place)",,,"ma Kala (rvtar34)",
Predefine,"Calneh (place)",,,"ma Kalune (rvtar34)",
Predefine,"Canaan (place)",,,"ma Kanan (rvtar34)",
Predefine,"Canaanites (group)",,,"jan Kanan (rvtar34)",
Predefine,"Caphtorim (person)",,"jan Kapotalin",,
Predefine,"Carmi (person)",,,,"jan Kami"
Predefine,"Casluhim (person)",,,,"jan Casujim"
Predefine,"Chaldees (group)",,"kulupu Kalasi",,
Predefine,"Chedorlaomer (person)",,"jan Ketolame",,
Predefine,"Cheran (person)",,"jan Kelan",,
Predefine,"Chesed (person)",,"jan Kese",,
Predefine,"Chezib (place)",,"ma Kesi",,
Predefine,"Cush (place)",,,"ma Kusi","ma Ku"
Predefine,"Damascus (place)",,,"ma Simasuku","ma Tamaka"
Predefine,"Dan (place)",,,"ma Tan","ma Tan"
Predefine,"Deborah (person)",,,"jan Tepola","jan Tepowa"
Predefine,"Dedan (person)",,,"jan Tetan","jan Tetan"
Predefine,"Diklah (person)",,"jan Sikala",,
Predefine,"Dinah (person)",,"jan Sina",,
Predefine,"Dinhabah (place)",,"ma Sinapa",,
Predefine,"Dishan (person)",,"jan Sisan",,
Predefine,"Dishon (person)",,"jan Sison",,
Predefine,"Dodanim (person)",,,,"jan Totanin"
Predefine,"Dothan (place)",,,,"ma Totan"
Predefine,"Dumah (person)",,,,"jan Tuma"
Predefine,"Ebal (person)",,,,"jan Ipa"
Predefine,"Eber (person)",,"jan Epe",,
Predefine,"Eden (place)",,,,"ma Itan"
Predefine,"Eder (place)",,"ma Ete",,
Predefine,"Edom (place)",,"ma Eton",,
Predefine,"Edomites (group)",,"kulupu Eton",,
Predefine,"Egypt (place)",,,"ma Masu (rvtar34)","ma Masu"
Predefine,"Egyptians (group)",,,"jan Masu (rvtar34)",
Predefine,"Ehi (person)",,"jan Eni",,
Predefine,"El-Elohe-Israel (place)",,"ma Elolisale",,
Predefine,"El-beth-el (place)",,"ma Eletele",,
Predefine,"El-paran (place)",,"ma Elapalan",,
Predefine,"Elah (person)",,"jan Ela",,
Predefine,"Elam (person)",,"jan Elan",,
Predefine,"Eldaah (person)",,"jan Elata",,
Predefine,"Eliezer (person)",,"jan Elisi",,
Predefine,"Eliphaz (person)",,"jan Elipa",,
Predefine,"Elishah (person)",,"jan Elisa",,
Predefine,"Ellasar (place)",,"ma Elasa",,
Predefine,"Elon (person)",,"jan Ilon",,
Predefine,"Emim (group)",,"kulupu Enin",,
Predefine,"En-mishpat (place)",,"ma Enimisapa",,
Predefine,"Enaim (place)",,"ma Enan",,
Predefine,"Enoch (person)",,"jan Inoko",,
Predefine,"Enosh (person)",,"jan Ino",,
Predefine,"Ephah (person)",,"jan Epa",,
Predefine,"Epher (person)",,"jan Epele",,
Predefine,"Ephraim (person)",,"jan Epalan",,
Predefine,"Ephrath (place)",,"ma Epala",,
Predefine,"Ephron (person)",,"jan Epolon",,
Predefine,"Er (person)",,"jan Ele",,
Predefine,"Erech (place)",,"ma Eleke",,
Predefine,"Eri (person)",,"jan Eli",,
Predefine,"Esau (person)",,"jan Esu",,"jan Isa"
Predefine,"Esek (place)",,"ma Eseke",,
Predefine,"Eshban (person)",,"jan Esapan",,
Predefine,"Eshcol (place)",,"ma Eseko",,
Predefine,"Euphrates (place)",,,,"ma Upete"
Predefine,"Eve (person)",,,"jan Ipi",
Predefine,"Ezbon (person)",,,,"jan Esupon"
Predefine,"Ezer (person)",,,,
Predefine,"Gad (person)",,,,"jan Katu"
Predefine,"Gaham (person)",,,,"jan Kajan"
Predefine,"Galeed (place)",,,,"ma Kalitu"
Predefine,"Gatam (person)",,,,"jan Katan"
Predefine,"Gaza (place)",,,,"ma Kasa"
Predefine,"Gera (person)",,,,
Predefine,"Gerar (place)",,,,
Predefine,"Gershon (person)",,,,
Predefine,"Gether (person)",,,,
Predefine,"Gihon (place)",,,,
Predefine,"Gilead (place)",,,,
Predefine,"Girgashites (group)",,,,
Predefine,"Goiim (place)",,,,
Predefine,"Gomer (person)",,,,
Predefine,"Gomorrah (place)",,,,
Predefine,"Goshen (place)",,,,
Predefine,"Guni (person)",,,,
Predefine,"Hadad (person)",,,,"jan Atatu"
Predefine,"Hadar (person)",,,,"jan Ata"
Predefine,"Hadoram (person)",,,,"jan Atowan"
Predefine,"Hagar (person)",,,,"jan Aka"
Predefine,"Haggi (person)",,,,"jan Ake"
Predefine,"Ham (person)",,,,"jan An"
Predefine,"Hamathites (group)",,,,
Predefine,"Hamor (person)",,,,"jan Amo"
Predefine,"Hamul (person)",,,,"jan Amu"
Predefine,"Hanoch (person)",,,,"jan Anoku"
Predefine,"Haran (person)",,,,"jan Awan"
Predefine,"Havilah (place)",,,,"ma Apila"
Predefine,"Hazarmaveth (person)",,,,"jan Asamape"
Predefine,"Hazazon-tamar (place)",,,,"ma Asason Tama"
Predefine,"Hazo (person)",,,,"jan Aso"
Predefine,"Heber (person)",,,,
Predefine,"Hebrews (group)",,,,"kulupu Ipu"
Predefine,"Hebron (person)",,,,
Predefine,"Heman (person)",,,,
Predefine,"Hemdan (person)",,,,
Predefine,"Heth (person)",,,,
Predefine,"Hezron (person)",,,,
Predefine,"Hiddekel (place)",,,,
Predefine,"Hirah (person)",,,,
Predefine,"Hittites (group)",,,,
Predefine,"Hivites (group)",,,,
Predefine,"Hobah (place)",,,,
Predefine,"Hori (person)",,,,
Predefine,"Horites (group)",,,,
Predefine,"Horites (group)",,,,
Predefine,"Hul (person)",,,,
Predefine,"Huppim (person)",,,,
Predefine,"Husham (person)",,,,
Predefine,"Hushim (person)",,,,
Predefine,"Imnah (person)",,,,
Predefine,"Iob (person)",,,,
Predefine,"Irad (person)",,,,
Predefine,"Iram (person)",,,,
Predefine,"Isaac (person)",,,,
Predefine,"Iscah (person)",,,,
Predefine,"Ishbak (person)",,,,
Predefine,"Ishmael (person)",,,,
Predefine,"Ishmaelites (group)",,,,
Predefine,"Ishvah (person)",,,,
Predefine,"Ishvi (person)",,,,
Predefine,"Israel (person)",,,,"jan Isuwaje"
Predefine,"Issachar (person)",,,,
Predefine,"Ithran (person)",,,,
Predefine,"Jabal (person)",,,,
Predefine,"Jabbok (place)",,,,
Predefine,"Jachin (person)",,,,
Predefine,"Jacob (person)",,,,"jan Seko"
Predefine,"Jahleel (person)",,,,
Predefine,"Jahzeel (person)",,,,
Predefine,"Jalam (person)",,,,
Predefine,"Jamin (person)",,,,
Predefine,"Japheth (person)",,,,
Predefine,"Jared (person)",,,,
Predefine,"Javan (person)",,,,
Predefine,"Jebusites (group)",,,,
Predefine,"Jegar-saha-dutha (place)",,,,
Predefine,"Jehovah (god)",,,,xxxxx
Predefine,"Jehovah-jireh (place)",,,,
Predefine,"Jemuel (person)",,,,
Predefine,"Jerah (person)",,,,
Predefine,"Jetheth (person)",,,,
Predefine,"Jetur (person)",,,,
Predefine,"Jeush (person)",,,,
Predefine,"Jezer (person)",,,,
Predefine,"Jidlaph (person)",,,,
Predefine,"Jobab (person)",,,,
Predefine,"Jokshan (person)",,,,
Predefine,"Joktan (person)",,,,
Predefine,"Jordan (place)",,,,
Predefine,"Joseph (person)",,,,
Predefine,"Jubal (person)",,,,
Predefine,"Judah (person)",,,,
Predefine,"Judith (person)",,,,
Predefine,"Kadesh (place)",,,,
Predefine,"Kadmonites (group)",,,,
Predefine,"Kedar (person)",,,,
Predefine,"Kedemah (person)",,,,
Predefine,"Kemuel (person)",,,,
Predefine,"Kenan (person)",,,,
Predefine,"Kenaz (person)",,,,
Predefine,"Kenites (group)",,,,
Predefine,"Kenizzites (group)",,,,
Predefine,"Keturah (person)",,,,
Predefine,"Kiriath-arba (place)",,,,
Predefine,"Kittim (place)",,,,
Predefine,"Kohath (person)",,,,
Predefine,"Korah (person)",,,,
Predefine,"Laban (person)",,,,
Predefine,"Lamech (person)",,,,
Predefine,"Lasha (place)",,,,
Predefine,"Leah (person)",,,,"jan Lija"
Predefine,"Lehabim (person)",,,,
Predefine,"Letushim (person)",,,,
Predefine,"Leummim (person)",,,,
Predefine,"Levi (person)",,,,"jan Lipe"
Predefine,"Lot (person)",,,"jan Losi",
Predefine,"Lotan (person)",,,,
Predefine,"Lud (person)",,,,
Predefine,"Ludim (person)",,,,
Predefine,"Luz (place)",,,,
Predefine,"Maacah (person)",,,,
Predefine,"Machir (person)",,,,
Predefine,"Machpelah (place)",,,,
Predefine,"Madai (person)",,,,
Predefine,"Magdiel (person)",,,,
Predefine,"Magog (person)",,,,"jan Mako"
Predefine,"Mahalalel (person)",,,,
Predefine,"Mahalath (person)",,,,
Predefine,"Mahanaim (place)",,,,
Predefine,"Malchiel (person)",,,,
Predefine,"Mamre (place)",,,,
Predefine,"Manahath (person)",,,,
Predefine,"Manasseh (person)",,,,
Predefine,"Mash (person)",,,,
Predefine,"Masrekah (place)",,,,
Predefine,"Massa (person)",,,,
Predefine,"Matred (person)",,,,
Predefine,"Me-zahab (person)",,,,
Predefine,"Medan (person)",,,,
Predefine,"Mehetabel (person)",,,,
Predefine,"Mehujael (person)",,,,
Predefine,"Melchizedek (person)",,,,
Predefine,"Merari (person)",,,,
Predefine,"Mesha (person)",,,,
Predefine,"Meshech (person)",,,,
Predefine,"Mesopotamia (place)",,,"ma Mesopotamija",
Predefine,"Methuselah (person)",,,,
Predefine,"Methushael (person)",,,,
Predefine,"Mibsam (person)",,,,
Predefine,"Mibzar (person)",,,,
Predefine,"Midian (place)",,,,
Predefine,"Midianites (group)",,,,
Predefine,"Milcah (person)",,,,
Predefine,"Mishma (person)",,,,
Predefine,"Mizpah (place)",,,,
Predefine,"Mizraim (person)",,,,
Predefine,"Mizzah (person)",,,,
Predefine,"Moab (place)",,,,"ma Mowapu"
Predefine,"Moabites (group)",,,,
Predefine,"Moreh (place)",,,,
Predefine,"Moriah (place)",,,,
