﻿﻿Translation,original,final,"jan Sonatan","jan Lentan","jan Weko"
Title,"Tears of Steel",
Author/copyright,"© copyright Blender Foundation | mango.blender.org",
Link,https://mango.blender.org/download/,
"CW notes","While the text, consisting entirely of the subtitles, is mostly harmless, the movie shows a brain, killer robots and guns",
"Translation notes","This will be a line-by-line translation of the subtitles of the movie",
"Text notes","Sintel is a movie created as a result of the Blender open movie project ""Mango"" and is released under a Creative Commons Attribution 3.0 license.",
randomized,no,
Predefine,"Thom (person)","jan Ton~~~~jan Sonatan","jan Ton","jan Ton","jan Ton"
Predefine,"Celia (person)","jan Selija~~~~jan Sonatan","jan Selija","jan Selija","jan Selija"
Predefine,"Barley (person)","jan Pale~~~~jan Sonatan","jan Pale","jan Pale","jan Pali"
Predefine,"Captain (person)","jan lawa~~~~jan Sonatan","jan lawa","jan lawa","jan lawa"
Predefine,"Djenghis (person)","jan Senki~~~~jan Sonatan","jan Senki","jan Senki","jan Senki"
Predefine,"Tech head (person)","jan sona~~~~jan Sonatan","jan sona","jan lawa pi sona ilo","jan ilo"
"Text start","[Celia] You're a jerk, Thom.","[jan Selija] jan Ton o, sina jan ike.~~~~jan Lentan","jan Ton o sina jan ike","[jan Selija] jan Ton o, sina jan ike.",
,"[Thom] Look Celia, we have to follow our passions;","jan Selija o sona e ni: mi wile pali e wile mi.~~~~jan Sonatan","jan Selija o sona e ni: mi wile pali e wile mi.","[jan Ton] jan Selia o, mi ale li wile pali e wile ona.",
,"...you have your robotics, and I","sina wile pali e ilo sina.~~~~jan Sonatan","sina wile pali e ilo sina.","sina wile pali e ilo jan. mi",
,"just want to be awesome in space.","mi wile lon ma mun.~~~~jan Sonatan","mi wile lon ma mun.","wile pali pona lon kon mun.",
,"[Celia] Why don't you just admit that","[jan Selija] o toki e ijo lon:~~~~jan Lentan","tan seme la sina li toki ala e ni:","[jan Selija] o toki e ijo lon:",
,"you're freaked out by my robot hand?","sina pilin monsuta tan luka ilo mi!~~~~jan Lentan","luka ilo mi li monsuta tawa sina?","sina pilin monsuta tan luka ilo mi!",
,"[Thom] I'm not freaked out by- it's...","[jan Ton] mi pilin monsuta ala! ni...~~~~jan Lentan","ona li monsuta ala tawa mi...","[jan Ton] mi pilin monsuta ala! ni...",
,"...alright! Fine!","...pona! pona!~~~~jan Sonatan","...pona! pona!","a! mi toki e ijo lon!",
,"I'm freaked out! I have nightmares","mi pilin monsuta! mi lape la mi lukin e ni:~~~~jan Sonatan","mi pilin monsuta! mi lape la mi lukin e ni:","mi pilin monsuta a! sitelen lape ike mi la,",
,"that I'm being chased...","ona li alasa e mi...~~~~jan Sonatan","ona li alasa e mi...","luka wawa ike ilo li wile moli e mi.",
,"...by these giant robotic claws of death...","...luka ilo suli monsuta li alasa e mi...~~~~jan Sonatan","...luka ilo suli monsuta li alasa e mi...","mi wile tawa wawa tan ona a!",
,"[writing] Fourty years later","[sitelen] tenpo sike 40 kama~~~~jan Lentan","tenpo mute li pini...","[sitelen] tenpo sike 40 kama",
,"[Celia] Whatever, Thom. We're done.","jan Ton o mi pini.~~~~jan Sonatan","jan Ton o mi pini.","[jan Selia] jan Ton o, pona pi mi tu li pini.",
,"[Tech head] Robot's memory synced and locked!","[jan lawa pi sona ilo] mi alasa e sona pi ilo jan tan tenpo ni!~~~~jan Lentan","sona pi jan ilo li lon!","[jan lawa pi sona ilo] mi alasa e sona pi ilo jan tan tenpo ni!",
,"[Captain] This is pretty freaky.","[jan lawa] ni li ijo nasa.~~~~jan Lentan","ni li nasa mute.","[jan lawa] ni li ijo nasa.",
,"[Barley] Shouldn't you be down there?","[jan Pale] sina wile lon anpa, anu seme?~~~~jan Lentan","sina wile ala wile lon anpa?","[jan Pale] sina wile lon anpa, anu seme?",
,"[Thom] I heard you guys talking last night.","[jan Ton] tenpo pimeja pini la, mi kute e toki sina.~~~~jan Lentan","tenpo pimeja pini la mi kute e toki sina.","[jan Ton] tenpo pimeja pini la, mi kute e toki sina.",
,"It's not my fault, you know.","ijo ni li tan mi ala. sina sona e ni.~~~~jan Lentan","ni li apeja mi ala.","ijo ni li tan mi ala. sina sona e ni.",
,"[Captain] Are you ready?","[jan lawa] sina ken ala ken pali e ni?~~~~jan Lentan","sina pona ala pona?","[jan lawa] sina ken ala ken pali e ni?",
,"Of course you're ready, you're a rockstar.","sina ken pali e ni! sina pona mute a!~~~~jan Lentan","sina pona tan ni: sina jan pona mute.","sina ken pali e ni! sina pona mute a!",
,"How's it looking, Barley?",,"jan Pale o ni li lukin seme?","jan Pale o, ale li pona ala pona?",
,"[Barley] We should have about ten minutes...","[jan Pale] tenpo Minuta 10 ni la, ale li pona.~~~~jan Lentan","mi jo e tenpo lili.","[jan Pale] tenpo Minuta 10 ni la, ale li pona.",
,"[Captain] Well that's perfect.",,"ni li pona.","[jan lawa] ni li pona.",
,"We're on in one! All systems go!","tenpo Sekunta wan la, o pali! o open e ale!~~~~jan Lentan","mi pali e ni kepeken tenpo lili lili! ilo ale o tawa!","tenpo Sekunta wan la, o pali! o open e ale!",
,"Yeah you, go! ","sina o, pali!~~~~jan Lentan","a sina o tawa!","sina o, pali!",
,"Go! Move your asses! Go go go! ","jan ale o, pali pali pali!~~~~jan Lentan","o tawa! o tawa e sijelo sina! o tawa! o tawa! o tawa!","jan ale o, pali pali pali!",
,"I love it! Come on, go!","ni li pona mute tawa mi! o tawa!~~~~jan Sonatan","ni li pona mute tawa mi! o tawa!","mi olin e ni! o pali a!",
,"That's nice. ","ni li pona.~~~~jan Lentan","ni li pona.","ni li pona.",
,"Nothing to worry about.","ala li ken ike.~~~~jan Lentan","ale li pona.","ala li ken ike.",
,Thom.,"jan Ton o,~~~~jan Lentan","jan Ton o","jan Ton o,",
,"There she is.","ona li lon.~~~~jan Sonatan","ona li lon.","ona li lon ni.",
,Now.,"tenpo ni la~~~~jan Sonatan","tenpo ni la","o sona e ni:",
,"You love her.","sina olin e ona.~~~~jan Lentan","sina olin e ona.","sina olin e ona.",
,"She is your passion! ","ona li olin wawa sina!~~~~jan Lentan","sina olin mute e ona!","ona li olin wawa sina!",
,"Be tender to her. ","o toki ike ala.~~~~jan Lentan","o pona e ona.","o toki ike ala.",
,"Be honest! Eh- be tender.","o toki e ijo lon! o -- o toki ike ala.~~~~jan Lentan","o toki pona. a- o pona.","o toki e ijo lon! o -- o toki ike ala.",
,"Remind her what love is.","o pana e sona olin tawa ona.~~~~jan Lentan","o pana e olin tawa ona.","o pana e sona olin tawa ona.",
,"...and, action!",,...tawa!,"...o sitelen!",
,"[Tech head] Memory overwrite in progress!",,"mi pana e sona sin lon insa pi ilo sijelo sona ona.","[jan lawa pi sona ilo] mi ante e sona ona!",
,"[Celia] You're a jerk, Thom!",,"jan Ton o sina jan ike.","[jan Selija] jan Ton o, sina jan ike!",
,"[Tech head] Ohp- Sorry! Sorry.",,"a- mi pakala! mi pakala.","[jan lawa pi sona ilo] a! mi pakala.",
,"[Thom] Look Celia.",,"jan Selija o sona e ni:","[jan Ton] jan Selia o,",
,"We have to follow our passions. ",,"mi wile pali e wile mi.","mi ale li wile pali e wile ona.",
,"You have your robotics...",,"sina wile pali e ilo sina...","sina wile pali e ilo jan...",
,"...and I just want to be awesome in space.",,"...mi wile lon ma mun.","mi wile pali pona lon kon mun.",
,"[Barley] Okay, they're coming. Two minutes left!",,"ona li kama. mi jo e tenpo lili lili taso!","[jan Pale] ilo ike li kama. sina jo e tenpo Minuta tu!",
,"[Captain] Speed it up, Thom! ",,"jan Ton o tawa tawa!","[jan lawa] jan Ton, o lili e tenpo!",
,Vivacissimo!,,tawa!,"wawa tenpo suli a!",
,"[Celia] Why don't you just admit that you're ",,"tan seme la sina toki ala e ni:","[jan Selija] o toki e ijo lon: sina",
,"freaked out by my robot hand?",,"luka ilo mi li monsuta tawa sina?","pilin monsuta tan luka ilo mi!",
,"[Thom] Listen Celia, I was young...",,"jan Selija o sona e ni: tenpo pini la mi jan lili...","[jan Ton] jan Selija, o kute e mi! mi lili la...",
,"...and a dick. ",,"...li jan ike.","mi jan ike.",
,"But that's no reason to",,"taso sina o","taso, sina wile ala",
,"destroy the world.",,"pakala ala e ma tan ni.","pakala e ale tan ni.",
,"[Djenghis] Why does he do this?",,"tan seme la ona li pali e ni?","[jan Senki] ona li pali e ni tan seme?",
,"[Captain] We already tried that one!",,"tenpo pini la mi pali e ni!","[jan lawa] mi ale li pali kepeken toki ni lon tenpo pini!",
,"[Djenghis] Abort!",,"o pini!","[jan Senki] o pini e ale!",
,"[Captain] Cut!",,"o pini!","[jan lawa] o sitelen ala!",
,"[Tech head] Whoaaa!",,a!,"[jan lawa pi sona ilo] aaaaa!",
,Whoaaa!,,a!,aaaaa!,
,Nooooo!,,ala!,"ala pi pali a!",
,"[Celia] You broke my heart.",,"sina li pakala e pilin mi.","[jan Selija] sina pakala e pilin mi.",
,"[Thom] I know.",,"mi sona e ni.","[jan Ton] mi sona e ni.",
,"[Celia] You forgot me on earth.",,"mi lon ma la sina pini sona e mi.","[jan Selija] sina weka e mi lon sike ma.",
,"[Thom] I know.",,"mi sona e ni.","[jan Ton] mi sona e ni.",
,"[Celia] I should just crush you.",,"mi wile pakala e sina.","[jan Selija] mi wile ala e sina.",
,"[Thom] I'm-",,mi...,"[jan Ton] mi-",
,"I'm sorry.",,"...mi pakala.","mi pilin ike tan pali mi.",
,"[Captain] Good ad-lib.","pali pona.~~~~jan Sonatan","pali pona.","[jan lawa] toki pona tan sitelen ala.",
,"[Tech head] Not my fault!","mi pakala ala...~~~~jan Sonatan","mi pakala ala...","[jan lawa pi sona ilo] mi pali ala e ike!",
,"This time.","...lon tenpo ni.~~~~jan Sonatan","...lon tenpo ni.","...lon tenpo ni.",
,"[Captain] Quiet on set!",,"o toki ala!","[jan lawa] o kalama ala!",
,"[Barley] We're out of time!",,"mi jo ala e tenpo!","[jan Pale] mi ale li jo ala e tenpo!",
,"[Barley] Come on!",,"o tawa!","[jan Pale] o kama!",
,RAAAAAAAAH!,,a!,aaaaaaa!,
,"[Tech head] Memory overwrite, 90%.",,"mi pana e sona. mi wile kepeken e tenpo lili.","[jan lawa pi sona ilo] mi pini ante e sona ona lon tenpo lili!",
,"[Djenghis] Captain! We have to abort!",,"jan lawa o mi wile pini!","[jan Senki] jan lawa o, mi ale li wile pini!",
,"[Thom] The world's changed, Celia...",,"jan Selija o ma li ante...","[jan Ton] jan Selija o, ale li ante...",
,"...maybe we can too.",,"...ken la mi tu ken ante kin.","ken la, mi tu li ken ante.",
,"[Tech head] Memory overwrite complete!",,"sona sin li lon!","[jan lawa pi sona ilo] sona li pini ante a!",
,"[Captain] You know.",,"sina sona e ni:","[jan lawa] a....",
,"There's a lesson to be learned from this.",,"mi ken kama sona tan ni.","jan li ken kama sona tan ijo ni.",
